Date,Time,Temp,Humidity,Active_Power
1/31/2006,1:00:00 AM,11.6,98,732.8
1/31/2006,2:00:00 AM,11.6,98,711.1
1/31/2006,3:00:00 AM,21.88,91,706.5
1/31/2006,4:00:00 AM,24.41,79,711.7
1/31/2006,5:00:00 AM,25.68,75,824.6
1/31/2006,6:00:00 AM,27.32,70,1078.2
1/31/2006,7:00:00 AM,27.87,68,1177.04
1/31/2006,8:00:00 AM,28.18,65,986.9
1/31/2006,9:00:00 AM,28.32,66,1084
1/31/2006,10:00:00 AM,28.3,65,1111.8
1/31/2006,11:00:00 AM,28.11,66,1154.7
1/31/2006,12:00:00 PM,26.95,70,1176.5
1/31/2006,1:00:00 PM,25.5,75,1108.43
1/31/2006,2:00:00 PM,24.32,76,1131.8
1/31/2006,3:00:00 PM,23.9,81,1179.1
1/31/2006,4:00:00 PM,22.56,85,1168.1
1/31/2006,5:00:00 PM,22.38,85,1152.3
1/31/2006,6:00:00 PM,12.3,96,1100.1
1/31/2006,7:00:00 PM,12.3,96,1466.4
1/31/2006,8:00:00 PM,12.3,96,1716.2
1/31/2006,9:00:00 PM,20.82,89,1594.53
1/31/2006,10:00:00 PM,20.19,91,1273.3
1/31/2006,11:00:00 PM,19.24,94,948.9
1/31/2006,12:00:00 AM,9.1,95,789.7
2/1/2006,1:00:00 AM,9.1,95,732.8
2/1/2006,2:00:00 AM,9.1,95,711.1
2/1/2006,3:00:00 AM,19.24,92,706.5
2/1/2006,4:00:00 AM,24.85,75,711.7
2/1/2006,5:00:00 AM,26.06,71,824.6
2/1/2006,6:00:00 AM,21,36,1078.2
2/1/2006,7:00:00 AM,21,36,1177.04
2/1/2006,8:00:00 AM,21,36,986.9
2/1/2006,9:00:00 AM,28.02,64,1084
2/1/2006,10:00:00 AM,28.68,57,1111.8
2/1/2006,11:00:00 AM,27.79,63,1154.7
2/1/2006,12:00:00 PM,17.6,72,1176.5
2/1/2006,1:00:00 PM,17.6,72,1108.43
2/1/2006,2:00:00 PM,17.6,72,1131.8
2/1/2006,3:00:00 PM,25.05,74,1179.1
2/1/2006,4:00:00 PM,22,85,1168.1
2/1/2006,5:00:00 PM,21.82,86,1152.3
2/1/2006,6:00:00 PM,10.5,97,1100.1
2/1/2006,7:00:00 PM,10.5,97,1466.4
2/1/2006,8:00:00 PM,10.5,97,1716.2
2/1/2006,9:00:00 PM,20.73,90,1594.53
2/1/2006,10:00:00 PM,20.28,91,1273.3
2/1/2006,11:00:00 PM,19.96,94,948.9
2/1/2006,12:00:00 AM,8.6,68,789.7
2/2/2006,1:00:00 AM,8.6,68,730.4
2/2/2006,2:00:00 AM,8.6,68,707.6
2/2/2006,3:00:00 AM,20.83,90,689.8
2/2/2006,4:00:00 AM,25.62,75,702.4
2/2/2006,5:00:00 AM,26.9,69,806.8
2/2/2006,6:00:00 AM,18.2,74,1080.9
2/2/2006,7:00:00 AM,18.2,74,1153.7
2/2/2006,8:00:00 AM,18.2,74,962.7
2/2/2006,9:00:00 AM,29,60,1051.1
2/2/2006,10:00:00 AM,29.01,60,1084.8
2/2/2006,11:00:00 AM,28.24,65,1153.8
2/2/2006,12:00:00 PM,16.9,84,1155.5
2/2/2006,1:00:00 PM,16.9,84,1080.2
2/2/2006,2:00:00 PM,16.9,84,1105.3
2/2/2006,3:00:00 PM,26.09,76,1136.4
2/2/2006,4:00:00 PM,23.13,89,1157.6
2/2/2006,5:00:00 PM,23.1,89,1132.6
2/2/2006,6:00:00 PM,13.4,89,1067.2
2/2/2006,7:00:00 PM,13.4,89,1367.2
2/2/2006,8:00:00 PM,13.4,89,1722.1
2/2/2006,9:00:00 PM,22.11,93,1591.1
2/2/2006,10:00:00 PM,22.54,94,1277.5
2/2/2006,11:00:00 PM,21.56,97,980.5
2/2/2006,12:00:00 AM,13.4,95,825
2/3/2006,1:00:00 AM,13.4,95,730.4
2/3/2006,2:00:00 AM,13.4,95,707.6
2/3/2006,3:00:00 AM,21.84,95,689.8
2/3/2006,4:00:00 AM,25.95,83,702.4
2/3/2006,5:00:00 AM,27.37,74,806.8
2/3/2006,6:00:00 AM,18.5,69,1080.9
2/3/2006,7:00:00 AM,18.5,69,1153.7
2/3/2006,8:00:00 AM,18.5,69,962.7
2/3/2006,9:00:00 AM,29.87,59,1051.1
2/3/2006,10:00:00 AM,29.66,59,1084.8
2/3/2006,11:00:00 AM,28.38,66,1153.8
2/3/2006,12:00:00 PM,18,78,1155.5
2/3/2006,1:00:00 PM,18,78,1080.2
2/3/2006,2:00:00 PM,18,78,1105.3
2/3/2006,3:00:00 PM,25.35,79,1136.4
2/3/2006,4:00:00 PM,23.56,88,1157.6
2/3/2006,5:00:00 PM,23.57,89,1132.6
2/3/2006,6:00:00 PM,15.2,98,1067.2
2/3/2006,7:00:00 PM,15.2,98,1367.2
2/3/2006,8:00:00 PM,15.2,98,1722.1
2/3/2006,9:00:00 PM,23.19,91,1591.1
2/3/2006,10:00:00 PM,23.16,92,1277.5
2/3/2006,11:00:00 PM,22.23,93,980.5
2/3/2006,12:00:00 AM,14.5,98,825
2/4/2006,1:00:00 AM,14.5,98,730.4
2/4/2006,2:00:00 AM,14.5,98,707.6
2/4/2006,3:00:00 AM,22.55,92,689.8
2/4/2006,4:00:00 AM,25.4,84,702.4
2/4/2006,5:00:00 AM,26.47,79,806.8
2/4/2006,6:00:00 AM,15.5,96,1080.9
2/4/2006,7:00:00 AM,15.5,96,1153.7
2/4/2006,8:00:00 AM,15.5,96,962.7
2/4/2006,9:00:00 AM,26.97,76,1051.1
2/4/2006,10:00:00 AM,27.72,72,1084.8
2/4/2006,11:00:00 AM,25.79,80,1153.8
2/4/2006,12:00:00 PM,25,82,1155.5
2/4/2006,1:00:00 PM,24.49,86,1080.2
2/4/2006,2:00:00 PM,24.19,86,1105.3
2/4/2006,3:00:00 PM,24.13,87,1136.4
2/4/2006,4:00:00 PM,22.76,90,1157.6
2/4/2006,5:00:00 PM,22.77,90,1132.6
2/4/2006,6:00:00 PM,13.8,91,1067.2
2/4/2006,7:00:00 PM,13.8,91,1367.2
2/4/2006,8:00:00 PM,13.8,91,1722.1
2/4/2006,9:00:00 PM,22.34,92,1591.1
2/4/2006,10:00:00 PM,22.5,91,1277.5
2/4/2006,11:00:00 PM,22.19,93,980.5
2/4/2006,12:00:00 AM,14,91,825
2/5/2006,1:00:00 AM,14,91,622.5
2/5/2006,2:00:00 AM,14,91,593.2
2/5/2006,3:00:00 AM,22.74,90,593.4
2/5/2006,4:00:00 AM,26.09,76,601.4
2/5/2006,5:00:00 AM,27.18,71,635.9
2/5/2006,6:00:00 AM,15.2,91,756.1
2/5/2006,7:00:00 AM,15.2,91,894.6
2/5/2006,8:00:00 AM,15.2,91,790.2
2/5/2006,9:00:00 AM,28.41,71,751
2/5/2006,10:00:00 AM,28.26,70,749.4
2/5/2006,11:00:00 AM,27.04,73,779.1
2/5/2006,12:00:00 PM,14.6,96,803
2/5/2006,1:00:00 PM,14.6,96,782.7
2/5/2006,2:00:00 PM,14.6,96,765.1
2/5/2006,3:00:00 PM,25.77,77,770.1
2/5/2006,4:00:00 PM,23.44,87,747.8
2/5/2006,5:00:00 PM,23.04,88,752.4
2/5/2006,6:00:00 PM,22.96,89,791
2/5/2006,7:00:00 PM,22.83,90,1183.3
2/5/2006,8:00:00 PM,22.39,90,1552.2
2/5/2006,9:00:00 PM,22.35,91,1471.4
2/5/2006,10:00:00 PM,21.85,93,1203.1
2/5/2006,11:00:00 PM,21.73,94,917
2/5/2006,12:00:00 AM,11.6,92,761.7
2/6/2006,1:00:00 AM,11.6,92,622.5
2/6/2006,2:00:00 AM,11.6,92,593.2
2/6/2006,3:00:00 AM,22.28,91,593.4
2/6/2006,4:00:00 AM,26.26,74,601.4
2/6/2006,5:00:00 AM,27.52,68,635.9
2/6/2006,6:00:00 AM,17,75,756.1
2/6/2006,7:00:00 AM,17,75,894.6
2/6/2006,8:00:00 AM,17,75,790.2
2/6/2006,9:00:00 AM,28.36,69,751
2/6/2006,10:00:00 AM,28.36,65,749.4
2/6/2006,11:00:00 AM,28.02,66,779.1
2/6/2006,12:00:00 PM,15.5,85,803
2/6/2006,1:00:00 PM,15.5,85,782.7
2/6/2006,2:00:00 PM,15.5,85,765.1
2/6/2006,3:00:00 PM,25.81,73,770.1
2/6/2006,4:00:00 PM,23.01,86,747.8
2/6/2006,5:00:00 PM,22.51,89,752.4
2/6/2006,6:00:00 PM,13.2,89,791
2/6/2006,7:00:00 PM,13.2,89,1183.3
2/6/2006,8:00:00 PM,13.2,89,1552.2
2/6/2006,9:00:00 PM,22.26,91,1471.4
2/6/2006,10:00:00 PM,21.81,91,1203.1
2/6/2006,11:00:00 PM,21.42,92,917
2/6/2006,12:00:00 AM,12.6,91,761.7
2/7/2006,1:00:00 AM,12.6,91,622.5
2/7/2006,2:00:00 AM,12.6,91,593.2
2/7/2006,3:00:00 AM,21.48,91,593.4
2/7/2006,4:00:00 AM,25.93,73,601.4
2/7/2006,5:00:00 AM,26.81,67,635.9
2/7/2006,6:00:00 AM,18,80,756.1
2/7/2006,7:00:00 AM,18,80,894.6
2/7/2006,8:00:00 AM,18,80,790.2
2/7/2006,9:00:00 AM,27.8,63,751
2/7/2006,10:00:00 AM,28.45,58,749.4
2/7/2006,11:00:00 AM,26.8,65,779.1
2/7/2006,12:00:00 PM,16.8,86,803
2/7/2006,1:00:00 PM,16.8,86,782.7
2/7/2006,2:00:00 PM,16.8,86,765.1
2/7/2006,3:00:00 PM,25.05,72,770.1
2/7/2006,4:00:00 PM,22.46,83,747.8
2/7/2006,5:00:00 PM,22.08,84,752.4
2/7/2006,6:00:00 PM,15,93,791
2/7/2006,7:00:00 PM,15,93,1183.3
2/7/2006,8:00:00 PM,15,93,1552.2
2/7/2006,9:00:00 PM,21.57,88,1471.4
2/7/2006,10:00:00 PM,21.56,87,1203.1
2/7/2006,11:00:00 PM,21.05,90,917
2/7/2006,12:00:00 AM,14.6,93,761.7
2/8/2006,1:00:00 AM,14.6,93,622.5
2/8/2006,2:00:00 AM,14.6,93,593.2
2/8/2006,3:00:00 AM,22.02,88,593.4
2/8/2006,4:00:00 AM,25.17,79,601.4
2/8/2006,5:00:00 AM,26.11,76,635.9
2/8/2006,6:00:00 AM,18,86,756.1
2/8/2006,7:00:00 AM,18,86,894.6
2/8/2006,8:00:00 AM,18,86,790.2
2/8/2006,9:00:00 AM,26.71,76,751
2/8/2006,10:00:00 AM,27.1,74,749.4
2/8/2006,11:00:00 AM,26.56,76,779.1
2/8/2006,12:00:00 PM,15.8,91,803
2/8/2006,1:00:00 PM,15.8,91,782.7
2/8/2006,2:00:00 PM,15.8,91,765.1
2/8/2006,3:00:00 PM,24.62,84,770.1
2/8/2006,4:00:00 PM,23.07,90,747.8
2/8/2006,5:00:00 PM,22.84,91,752.4
2/8/2006,6:00:00 PM,15,96,791
